,age,job,marital,education,contact,month,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,deposit_approve
24085,29,technician,married,university.degree,cellular,nov,150,1,no,0,nonexistent,-0.1,93.2,-42.0,4.592,yes
24087,31,blue-collar,married,basic.9y,telephone,nov,115,1,no,0,nonexistent,-0.1,93.2,-42.0,4.474,yes
24088,29,admin.,married,basic.9y,telephone,nov,453,1,no,0,nonexistent,-0.1,93.2,-42.0,4.474,yes
24094,47,student,single,unknown,telephone,nov,145,1,no,0,nonexistent,-0.1,93.2,-42.0,4.406000000000001,yes
24096,58,retired,divorced,basic.9y,telephone,nov,248,1,no,0,nonexistent,-0.1,93.2,-42.0,4.406000000000001,yes
24100,32,unemployed,married,professional.course,telephone,nov,486,1,no,0,nonexistent,-0.1,93.2,-42.0,4.343,yes
24101,33,services,married,high.school,telephone,nov,158,1,no,0,nonexistent,-0.1,93.2,-42.0,4.343,yes
24102,36,admin.,married,high.school,telephone,nov,114,1,no,1,failure,-0.1,93.2,-42.0,4.2860000000000005,yes
24103,58,management,divorced,university.degree,telephone,nov,139,1,no,0,nonexistent,-0.1,93.2,-42.0,4.2860000000000005,yes
24115,42,admin.,married,professional.course,telephone,nov,90,1,no,0,nonexistent,-0.1,93.2,-42.0,4.245,yes
24116,40,blue-collar,married,basic.9y,telephone,nov,160,1,no,0,nonexistent,-0.1,93.2,-42.0,4.245,yes
24118,37,admin.,divorced,university.degree,cellular,nov,132,1,no,0,nonexistent,-0.1,93.2,-42.0,4.223,yes
24119,35,technician,single,professional.course,telephone,nov,160,1,no,0,nonexistent,-0.1,93.2,-42.0,4.223,yes
24121,34,management,married,university.degree,telephone,nov,179,1,no,0,nonexistent,-0.1,93.2,-42.0,4.223,yes
24214,48,blue-collar,divorced,professional.course,cellular,nov,564,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24297,48,admin.,single,university.degree,cellular,nov,434,2,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24327,40,admin.,married,university.degree,cellular,nov,890,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24379,42,admin.,married,high.school,cellular,nov,651,2,no,1,failure,-0.1,93.2,-42.0,4.191,yes
24402,45,blue-collar,married,basic.6y,cellular,nov,696,2,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24469,31,technician,single,university.degree,cellular,nov,984,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24473,46,admin.,married,university.degree,cellular,nov,947,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24488,32,blue-collar,married,high.school,telephone,nov,943,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24502,35,blue-collar,married,high.school,cellular,nov,540,2,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24550,45,management,married,university.degree,cellular,nov,789,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24583,34,entrepreneur,married,basic.6y,cellular,nov,788,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24705,52,services,divorced,high.school,cellular,nov,652,2,no,1,failure,-0.1,93.2,-42.0,4.191,yes
24723,37,entrepreneur,married,university.degree,cellular,nov,454,1,no,0,nonexistent,-0.1,93.2,-42.0,4.191,yes
24737,55,admin.,married,professional.course,telephone,nov,514,2,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24792,41,entrepreneur,married,university.degree,cellular,nov,854,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24888,52,management,married,university.degree,cellular,nov,486,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24902,30,technician,single,professional.course,cellular,nov,835,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24928,38,blue-collar,divorced,unknown,cellular,nov,596,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24930,30,unemployed,married,high.school,cellular,nov,924,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24938,30,admin.,divorced,university.degree,cellular,nov,453,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24944,52,management,married,university.degree,cellular,nov,419,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
24984,57,management,married,university.degree,cellular,nov,609,2,no,1,failure,-0.1,93.2,-42.0,4.1530000000000005,yes
25314,50,housemaid,married,basic.4y,telephone,nov,150,2,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
25369,39,blue-collar,married,basic.9y,cellular,nov,741,4,no,1,failure,-0.1,93.2,-42.0,4.1530000000000005,yes
25385,35,admin.,single,university.degree,cellular,nov,898,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
25408,37,entrepreneur,married,university.degree,cellular,nov,543,1,no,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,yes
25447,35,technician,single,high.school,cellular,nov,819,3,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25449,31,admin.,single,high.school,cellular,nov,511,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25519,58,management,divorced,university.degree,cellular,nov,418,1,yes,1,success,-0.1,93.2,-42.0,4.12,yes
25528,35,admin.,married,university.degree,cellular,nov,820,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25529,34,technician,married,university.degree,cellular,nov,686,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25557,35,admin.,married,university.degree,cellular,nov,925,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25566,36,admin.,divorced,high.school,cellular,nov,862,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25567,29,housemaid,single,high.school,cellular,nov,786,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25575,29,housemaid,single,high.school,cellular,nov,993,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25579,46,blue-collar,married,basic.9y,cellular,nov,814,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25636,43,services,divorced,high.school,cellular,nov,1015,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25637,30,entrepreneur,single,university.degree,cellular,nov,489,3,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25654,33,services,married,high.school,cellular,nov,694,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25673,51,self-employed,divorced,university.degree,cellular,nov,670,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25686,34,technician,married,high.school,cellular,nov,561,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25692,43,admin.,single,high.school,cellular,nov,1011,1,no,1,failure,-0.1,93.2,-42.0,4.12,yes
25714,35,admin.,married,university.degree,cellular,nov,654,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25717,31,management,single,university.degree,cellular,nov,424,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25721,36,entrepreneur,single,university.degree,cellular,nov,911,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25724,36,entrepreneur,single,university.degree,cellular,nov,998,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25731,29,management,single,university.degree,cellular,nov,802,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25832,30,services,married,professional.course,cellular,nov,622,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25853,31,blue-collar,single,high.school,cellular,nov,522,1,yes,1,success,-0.1,93.2,-42.0,4.12,yes
25908,35,admin.,married,university.degree,cellular,nov,631,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25931,37,admin.,single,university.degree,telephone,nov,623,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25941,35,admin.,married,university.degree,cellular,nov,1028,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25952,36,admin.,single,university.degree,cellular,nov,337,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25962,37,services,single,high.school,cellular,nov,485,1,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
25981,57,management,married,university.degree,cellular,nov,589,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
26016,52,management,married,university.degree,cellular,nov,783,3,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
26041,30,technician,single,professional.course,cellular,nov,757,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
26047,56,entrepreneur,married,basic.9y,cellular,nov,680,2,no,1,failure,-0.1,93.2,-42.0,4.12,yes
26060,36,management,divorced,high.school,cellular,nov,709,2,no,0,nonexistent,-0.1,93.2,-42.0,4.12,yes
26244,58,retired,married,high.school,cellular,nov,477,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26246,32,blue-collar,single,basic.9y,cellular,nov,276,1,no,1,failure,-0.1,93.2,-42.0,4.0760000000000005,yes
26265,29,student,single,high.school,cellular,nov,670,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26273,34,technician,married,high.school,cellular,nov,732,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26310,53,technician,divorced,high.school,cellular,nov,531,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26317,40,blue-collar,married,basic.4y,cellular,nov,628,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26324,35,entrepreneur,married,high.school,cellular,nov,566,2,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26336,50,blue-collar,married,professional.course,cellular,nov,283,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26342,32,technician,single,university.degree,cellular,nov,454,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26359,32,unemployed,married,high.school,cellular,nov,728,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26363,45,management,married,professional.course,cellular,nov,993,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26379,40,management,single,university.degree,cellular,nov,549,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26394,30,admin.,single,university.degree,cellular,nov,478,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26398,29,services,married,basic.9y,cellular,nov,755,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26441,56,blue-collar,married,basic.9y,cellular,nov,994,1,no,1,failure,-0.1,93.2,-42.0,4.0760000000000005,yes
26465,42,admin.,married,university.degree,cellular,nov,871,5,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26470,47,technician,married,professional.course,cellular,nov,329,4,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26511,30,entrepreneur,single,university.degree,cellular,nov,531,1,no,1,failure,-0.1,93.2,-42.0,4.0760000000000005,yes
26515,35,blue-collar,married,basic.9y,cellular,nov,543,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26523,30,admin.,married,university.degree,cellular,nov,857,3,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26538,44,admin.,single,professional.course,cellular,nov,931,4,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26548,33,blue-collar,married,basic.9y,cellular,nov,593,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26575,50,retired,divorced,high.school,cellular,nov,691,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26590,30,blue-collar,married,basic.9y,cellular,nov,677,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26606,34,unemployed,married,high.school,cellular,nov,562,2,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26622,45,technician,divorced,professional.course,cellular,nov,705,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26633,37,admin.,single,high.school,cellular,nov,1035,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26634,29,admin.,single,university.degree,cellular,nov,736,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26657,53,management,married,university.degree,cellular,nov,888,2,no,1,failure,-0.1,93.2,-42.0,4.0760000000000005,yes
26673,34,management,divorced,university.degree,cellular,nov,370,2,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26676,32,management,single,university.degree,cellular,nov,500,2,no,1,failure,-0.1,93.2,-42.0,4.0760000000000005,yes
26689,34,self-employed,married,illiterate,cellular,nov,488,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26692,32,blue-collar,divorced,basic.9y,telephone,nov,1025,2,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26767,36,blue-collar,married,basic.9y,cellular,nov,768,3,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26774,39,management,married,unknown,cellular,nov,758,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26775,54,housemaid,divorced,university.degree,cellular,nov,653,1,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26877,56,services,married,high.school,telephone,nov,871,3,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26927,30,management,single,high.school,cellular,nov,952,2,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
26933,34,admin.,divorced,university.degree,cellular,nov,493,2,no,1,failure,-0.1,93.2,-42.0,4.0760000000000005,yes
26947,35,admin.,single,university.degree,cellular,nov,295,3,no,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,yes
27047,29,self-employed,married,university.degree,cellular,nov,729,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27054,48,management,married,university.degree,cellular,nov,591,1,no,1,failure,-0.1,93.2,-42.0,4.021,yes
27060,54,admin.,divorced,university.degree,cellular,nov,558,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27081,53,self-employed,married,university.degree,cellular,nov,528,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27082,34,admin.,married,university.degree,cellular,nov,467,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27083,29,technician,single,professional.course,cellular,nov,530,1,no,1,failure,-0.1,93.2,-42.0,4.021,yes
27085,30,services,single,high.school,cellular,nov,648,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27099,33,technician,single,university.degree,cellular,nov,710,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27101,35,admin.,single,university.degree,cellular,nov,530,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27103,35,admin.,single,university.degree,cellular,nov,529,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27104,37,technician,divorced,high.school,cellular,nov,635,1,no,1,failure,-0.1,93.2,-42.0,4.021,yes
27151,40,management,married,university.degree,cellular,nov,957,1,no,1,failure,-0.1,93.2,-42.0,4.021,yes
27154,50,technician,married,basic.9y,cellular,nov,705,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27160,46,technician,divorced,university.degree,cellular,nov,796,5,no,1,failure,-0.1,93.2,-42.0,4.021,yes
27161,36,services,married,basic.6y,cellular,nov,1022,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27178,57,management,divorced,professional.course,cellular,nov,849,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27181,40,blue-collar,divorced,basic.9y,cellular,nov,893,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27236,34,technician,divorced,university.degree,cellular,nov,316,3,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27250,58,admin.,married,university.degree,cellular,nov,850,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27282,39,technician,married,high.school,cellular,nov,749,2,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27288,42,admin.,married,university.degree,cellular,nov,902,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27321,45,admin.,divorced,high.school,cellular,nov,980,2,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27366,34,admin.,divorced,university.degree,cellular,nov,549,2,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27408,57,management,married,university.degree,cellular,nov,536,1,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27419,56,retired,married,basic.4y,cellular,nov,481,2,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27430,48,admin.,married,basic.9y,cellular,nov,664,3,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27465,35,management,married,university.degree,cellular,nov,579,9,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27469,39,admin.,single,unknown,cellular,nov,504,2,no,1,failure,-0.1,93.2,-42.0,4.021,yes
27522,41,blue-collar,married,unknown,cellular,nov,663,4,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27541,56,admin.,married,university.degree,cellular,nov,808,2,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27569,44,management,single,university.degree,cellular,nov,534,2,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27590,30,admin.,single,university.degree,cellular,nov,331,2,no,0,nonexistent,-0.1,93.2,-42.0,4.021,yes
27689,44,blue-collar,married,basic.4y,telephone,dec,119,1,no,0,nonexistent,-0.2,92.756,-45.9,3.053,yes
27690,26,student,single,basic.9y,cellular,mar,712,4,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27691,38,admin.,single,university.degree,cellular,mar,111,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27697,35,admin.,married,university.degree,cellular,mar,378,4,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27698,30,management,married,university.degree,cellular,mar,116,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27700,26,admin.,married,university.degree,cellular,mar,154,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27704,44,blue-collar,single,professional.course,cellular,mar,239,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27707,26,admin.,married,university.degree,cellular,mar,175,5,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27708,28,technician,single,university.degree,cellular,mar,120,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27713,70,retired,divorced,basic.4y,cellular,mar,187,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27717,48,admin.,married,basic.6y,telephone,mar,382,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27718,26,student,single,basic.9y,cellular,mar,294,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,yes
27721,28,admin.,single,high.school,cellular,mar,143,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27723,66,technician,married,professional.course,cellular,mar,83,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27725,34,management,married,university.degree,cellular,mar,499,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27726,35,admin.,married,high.school,cellular,mar,350,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27729,28,student,single,basic.9y,cellular,mar,320,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27730,28,student,single,basic.9y,cellular,mar,156,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27731,36,admin.,married,high.school,cellular,mar,168,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27732,43,blue-collar,married,basic.9y,cellular,mar,180,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27734,28,student,single,basic.9y,cellular,mar,96,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,yes
27736,41,services,married,high.school,cellular,mar,377,6,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,yes
27737,41,services,married,high.school,cellular,mar,396,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,yes
27738,23,admin.,single,university.degree,cellular,mar,308,2,no,1,failure,-1.8,92.84299999999999,-50.0,1.757,yes
27742,38,technician,married,professional.course,cellular,mar,63,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.757,yes
27746,33,management,married,university.degree,telephone,mar,181,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.757,yes
27748,38,technician,married,professional.course,cellular,mar,182,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.757,yes
27751,38,technician,married,professional.course,cellular,mar,137,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.757,yes
27753,38,technician,married,professional.course,cellular,mar,106,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.757,yes
27754,38,technician,married,professional.course,cellular,mar,196,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.757,yes
27758,38,technician,married,professional.course,cellular,mar,195,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.726,yes
27759,34,technician,single,professional.course,cellular,mar,229,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.726,yes
27760,34,technician,single,professional.course,cellular,mar,227,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.726,yes
27763,38,technician,married,professional.course,cellular,mar,166,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.726,yes
27764,38,technician,married,professional.course,cellular,mar,363,2,yes,1,success,-1.8,92.84299999999999,-50.0,1.726,yes
27765,34,technician,single,professional.course,cellular,mar,266,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.726,yes
27766,34,technician,single,professional.course,cellular,mar,544,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.726,yes
27767,34,technician,single,professional.course,cellular,mar,301,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.726,yes
27768,38,technician,married,professional.course,cellular,mar,207,2,yes,1,success,-1.8,92.84299999999999,-50.0,1.726,yes
27769,32,management,single,university.degree,cellular,mar,116,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.703,yes
27772,55,technician,single,professional.course,cellular,mar,217,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.703,yes
27778,38,technician,married,university.degree,cellular,mar,350,2,no,2,failure,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27781,32,management,single,university.degree,cellular,mar,106,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27782,31,blue-collar,single,high.school,cellular,mar,272,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27784,32,management,single,university.degree,cellular,mar,71,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27787,38,technician,married,university.degree,cellular,mar,122,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27789,39,admin.,single,high.school,cellular,mar,395,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27790,38,technician,married,university.degree,cellular,mar,261,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27795,37,admin.,married,university.degree,cellular,mar,159,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27797,32,management,single,university.degree,cellular,mar,427,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6869999999999998,yes
27802,88,retired,divorced,basic.4y,cellular,mar,266,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27803,29,self-employed,married,university.degree,cellular,mar,95,4,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27805,88,retired,divorced,basic.4y,cellular,mar,796,5,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27807,29,self-employed,married,university.degree,cellular,mar,197,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27810,88,retired,divorced,basic.4y,cellular,mar,126,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27811,88,retired,divorced,basic.4y,cellular,mar,323,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27813,88,retired,divorced,basic.4y,cellular,mar,101,7,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27816,88,retired,divorced,basic.4y,cellular,mar,188,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27817,88,retired,divorced,basic.4y,cellular,mar,203,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27818,88,retired,divorced,basic.4y,cellular,mar,101,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.663,yes
27821,27,student,single,high.school,cellular,mar,80,4,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.65,yes
27822,26,management,single,university.degree,cellular,mar,119,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.65,yes
27823,66,retired,married,basic.4y,cellular,mar,156,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.65,yes
27824,29,technician,married,professional.course,cellular,mar,186,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.65,yes
27825,26,management,single,university.degree,cellular,mar,139,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.65,yes
27827,19,student,single,basic.9y,cellular,mar,126,4,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.64,yes
27832,30,student,single,high.school,cellular,mar,268,5,yes,2,failure,-1.8,92.84299999999999,-50.0,1.64,yes
27836,28,self-employed,single,university.degree,cellular,mar,296,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.64,yes
27846,28,technician,single,university.degree,cellular,mar,392,4,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.629,yes
27849,33,admin.,single,university.degree,cellular,mar,406,2,no,1,failure,-1.8,92.84299999999999,-50.0,1.614,yes
27850,21,student,single,high.school,cellular,mar,220,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.614,yes
27851,77,retired,divorced,unknown,cellular,mar,178,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.614,yes
27852,37,unemployed,married,university.degree,cellular,mar,195,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.614,yes
27853,33,admin.,single,university.degree,cellular,mar,187,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.614,yes
27855,29,technician,single,professional.course,cellular,mar,299,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.614,yes
27856,34,admin.,single,university.degree,cellular,mar,325,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.614,yes
27862,33,blue-collar,single,high.school,cellular,mar,278,2,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6019999999999999,yes
27863,60,management,single,university.degree,cellular,mar,194,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6019999999999999,yes
27864,24,admin.,single,high.school,cellular,mar,224,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6019999999999999,yes
27866,68,retired,married,university.degree,cellular,mar,201,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6019999999999999,yes
27867,33,blue-collar,single,high.school,cellular,mar,203,4,no,1,failure,-1.8,92.84299999999999,-50.0,1.6019999999999999,yes
27868,32,management,single,university.degree,cellular,mar,167,1,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.584,yes
27870,36,admin.,married,high.school,cellular,mar,220,3,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.584,yes
27873,31,admin.,divorced,university.degree,cellular,mar,248,4,no,0,nonexistent,-1.8,92.84299999999999,-50.0,1.56,yes
